statistic,mean_time,std_time,min_time,max_time,total_time,n_samples
sfs,5.739603757858277e-05,4.089906697103578e-06,5.1021575927734375e-05,0.0009696483612060547,11.479207515716553,200000
inter_snp,2.438037395477295e-06,7.663283758020424e-07,1.9073486328125e-06,0.00029969215393066406,0.487607479095459,200000
ld,0.001955530960559845,0.0006481832460576383,0.0018618106842041016,0.1737358570098877,391.106192111969,200000
pi,3.993415832519531e-07,1.5494438041275952e-07,2.384185791015625e-07,1.4066696166992188e-05,0.07986831665039062,200000
num_haps,0.00014151078104972838,1.8948777979474708e-05,9.655952453613281e-05,0.001604318618774414,28.30215620994568,200000
ihs_maxabs,0.0014581849229335785,0.00016296355104408926,0.0008561611175537109,0.004299640655517578,291.6369845867157,200000
tajima_d,6.833298087120056e-05,5.786722625781664e-06,6.222724914550781e-05,0.0014736652374267578,13.666596174240112,200000
garud_h,5.696219682693482e-05,4.82568605739845e-06,5.125999450683594e-05,0.0012977123260498047,11.392439365386963,200000
