model,type,statistic,r2_train,r2_test,rmse_train,rmse_test,n_samples,n_features
disc_2,disc,LD_12,0.06015817667207923,0.04821742573594745,0.008600811714186793,0.010400158134243455,199837,64
disc_2,disc,LD_13,0.03684774135023894,0.03659062339201513,0.005765969924329445,0.00644507664702105,199837,64
disc_2,disc,LD_14,0.02123758164378442,0.021423976443491366,0.003325443676093809,0.004818219973124529,199837,64
disc_2,disc,LD_15,0.009818785548675324,0.003983891594725453,0.0018597748219876483,0.005211807545987152,199837,64
disc_2,disc,$\pi$,0.5426829755077778,0.5373660005837025,1.5089335395545918,1.514479686420574,199837,64
disc_2,disc,#haps,0.09352319744842585,0.09184556824419354,11.980713566050417,11.897106666681461,199837,64
disc_2,disc,ihs_maxabs,0.19951686047741346,0.19915711531495328,0.23370453599937163,0.23364588004114933,199837,64
disc_2,disc,garud_h1,0.34369567201777707,0.3426251904538178,0.07894131806185671,0.07951574112837,199837,64
disc_2,disc,garud_h12,0.2592659792522819,0.25803944529665335,0.12431177065322309,0.1245359703019575,199837,64
disc_2,disc,garud_h123,0.20990229128645121,0.20796099126144119,0.1465154146530334,0.1464003562082706,199837,64
disc_2,disc,garud_h2_h1,0.3188917798972145,0.31581146541160654,0.16242392833675862,0.16259490990108938,199837,64
disc_3,disc,SFS_1,0.1534353698261639,0.14896509075576558,4.102570990208828,4.083614256384269,199837,64
disc_3,disc,SFS_2,0.04835564243651869,0.049916196029552995,2.1474240876065345,2.1362356044704893,199837,64
disc_3,disc,SFS_3,0.028655395032500697,0.02707912466707374,1.8368784611115543,1.7860933941863189,199837,64
disc_3,disc,SFS_4,0.01922982674253071,0.01773201325803786,1.6522927304282744,1.6176626390823499,199837,64
disc_3,disc,SFS_5,0.013797983464761576,0.012474665383818584,1.5558355913491364,1.5624734700264487,199837,64
disc_3,disc,SFS_6,0.011284578190638106,0.01065410377524767,1.4612555922011743,1.4728833511268675,199837,64
disc_3,disc,SFS_7,0.008261755424451178,0.007187186400533174,1.4111935905681017,1.4649461531538208,199837,64
disc_3,disc,SFS_8,0.006263491592370496,0.005805208079063595,1.398405772266134,1.4120685054392852,199837,64
disc_3,disc,SFS_9,0.005666623180490271,0.004330429941509895,1.336796811847787,1.3455603861036562,199837,64
disc_3,disc,LD_1,0.4669876531391304,0.4662205301035125,0.07065985502273914,0.0699990283792664,199837,64
disc_3,disc,LD_2,0.4079263251673003,0.4068089963641969,0.07117200539720853,0.07059665604931342,199837,64
disc_3,disc,LD_3,0.26438851116859796,0.2562259235031581,0.08045911996028292,0.0794706148414208,199837,64
disc_3,disc,LD_4,0.09159981003066087,0.09603656320209564,0.09047580654507645,0.09112718990227688,199837,64
disc_3,disc,LD_5,0.027112719304938082,0.02746739153461142,0.09029127505123702,0.09167593712371852,199837,64
disc_3,disc,LD_6,0.029355032437243023,0.026974896364924894,0.07884052590105754,0.08075814826198278,199837,64
disc_3,disc,LD_7,0.04751190933003491,0.045421346994098166,0.06073217823965055,0.06142477692392144,199837,64
disc_3,disc,LD_8,0.06291504745693688,0.06002531268252542,0.04303312852809435,0.04298173426756157,199837,64
disc_3,disc,LD_9,0.06216748062133215,0.07271529281838907,0.030048005415871607,0.02950876047275576,199837,64
disc_3,disc,LD_10,0.05810318434293582,0.06863629755198708,0.020176231877426825,0.02136850158619988,199837,64
disc_3,disc,LD_11,0.0468141823518744,0.04679035274120957,0.013751174351931695,0.014048405595245719,199837,64
disc_3,disc,LD_12,0.042060031428861056,0.02963378283627116,0.008683227978919138,0.010501199334142612,199837,64
disc_3,disc,LD_13,0.03085690671689667,0.017836443356712084,0.005783874374973118,0.006507505739480409,199837,64
disc_3,disc,LD_14,0.019547032564266043,0.0172055073239602,0.0033283143422463343,0.004828594054360582,199837,64
disc_3,disc,LD_15,0.008123779976490053,0.0027676917191583605,0.0018613659351818883,0.0052149885517239975,199837,64
disc_3,disc,$\pi$,0.4578043562293598,0.4514371173304911,1.643007096567317,1.649141378669809,199837,64
disc_3,disc,#haps,0.08081036328079383,0.07800149204690032,12.064432490111416,11.987444547755414,199837,64
disc_3,disc,ihs_maxabs,0.2650180960443028,0.26843421303755977,0.22393881230390736,0.22331153665629697,199837,64
disc_3,disc,garud_h1,0.4963562825262742,0.5004601643307244,0.06915338602401229,0.06931570511657137,199837,64
disc_3,disc,garud_h12,0.3622704779728366,0.36245203638094614,0.1153451578330154,0.11544119976673797,199837,64
disc_3,disc,garud_h123,0.2735867025260317,0.27154135664239565,0.14048657029113848,0.14040135461930317,199837,64
disc_3,disc,garud_h2_h1,0.4175414828548383,0.41923862123959754,0.15020156206578425,0.1498021040987005,199837,64
disc_4,disc,SFS_1,0.20543383526120262,0.2059674220922324,3.9745784977529994,3.9444838692279225,199837,64
disc_4,disc,SFS_2,0.057083882088350024,0.059465036855214315,2.1375535896713895,2.12547335015398,199837,64
disc_4,disc,SFS_3,0.03625034014941497,0.032851884052758185,1.8296830904513353,1.7807866792984868,199837,64
disc_4,disc,SFS_4,0.025993260569218135,0.0205478955754822,1.6465857331690568,1.615342286109609,199837,64
disc_4,disc,SFS_5,0.018701065235023906,0.019975669706059573,1.551963213215877,1.5565280726930557,199837,64
disc_4,disc,SFS_6,0.016240092481714652,0.014366923094527695,1.457589032001967,1.4701170334881641,199837,64
disc_4,disc,SFS_7,0.011634520323578257,0.014043332824248411,1.408791909561916,1.4598790924052776,199837,64
disc_4,disc,SFS_8,0.0094951875700513,0.009687790244041206,1.396130067157615,1.4093085658747349,199837,64
disc_4,disc,SFS_9,0.008826856545531059,0.007571134788384892,1.334670788511924,1.3433688367318524,199837,64
disc_4,disc,LD_1,0.4972229135369165,0.4999028162285827,0.06862649932672692,0.06775452161422307,199837,64
disc_4,disc,LD_2,0.4421227871311424,0.44006271217590465,0.0690860938871445,0.06858932786765902,199837,64
disc_4,disc,LD_3,0.3077431750201023,0.30148599752702365,0.07805211026625943,0.07701469725958136,199837,64
disc_4,disc,LD_4,0.10800300572112809,0.10504699409546037,0.08965521381095443,0.09067188851418728,199837,64
disc_4,disc,LD_5,0.03881859326712267,0.03765087243277465,0.08974643451602064,0.0911947003366905,199837,64
disc_4,disc,LD_6,0.070283393542525,0.06476694415971407,0.07716042358400833,0.07917430395308528,199837,64
disc_4,disc,LD_7,0.10621966535219984,0.10507802482424644,0.05883076263581158,0.05947443364834853,199837,64
disc_4,disc,LD_8,0.1280621030184278,0.12648081276338097,0.04151033281929939,0.0414344978540361,199837,64
disc_4,disc,LD_9,0.11751977973582595,0.12629410141752107,0.02914778080611084,0.028643563858839285,199837,64
disc_4,disc,LD_10,0.0962079878132559,0.10723597282439612,0.019763899892284303,0.020921015271521695,199837,64
disc_4,disc,LD_11,0.05853303356509487,0.06459965482632779,0.013666381682906811,0.013916550046217356,199837,64
disc_4,disc,LD_12,0.03759371855626659,0.029320177849215145,0.008703446841683078,0.010502896096863674,199837,64
disc_4,disc,LD_13,0.01764287175007495,0.01881180663167692,0.0058231717498212,0.006504273712259071,199837,64
disc_4,disc,LD_14,0.010872427367333293,0.010048178421024012,0.0033430056296464925,0.004846144591373358,199837,64
disc_4,disc,LD_15,0.004217759037615565,0.0020767992430481552,0.0018650273751714015,0.005216794736948651,199837,64
disc_4,disc,$\pi$,0.5920202017094378,0.5934518528678638,1.4252162214705948,1.4197133705153167,199837,64
disc_4,disc,#haps,0.1127758373694312,0.10655171727143853,11.85280169195653,11.800385935627029,199837,64
disc_4,disc,ihs_maxabs,0.2611637824601126,0.2611073080112333,0.22452522251003654,0.22442702489562433,199837,64
disc_4,disc,garud_h1,0.5048648029949566,0.5024980249075397,0.06856676172720344,0.06917417476237848,199837,64
disc_4,disc,garud_h12,0.3849135927382583,0.3809738037867134,0.1132789386997818,0.11375196674842554,199837,64
disc_4,disc,garud_h123,0.3032637250894341,0.29872060415474355,0.13758691358985345,0.13775722547478297,199837,64
disc_4,disc,garud_h2_h1,0.43331225194295453,0.4329548959985495,0.14815416350008537,0.14802253996567047,199837,64
random-weights_0,random-weights,SFS_1,0.1911788055575392,0.19117139516614,4.010073257192558,3.9810650575464437,199837,64
random-weights_0,random-weights,SFS_2,0.05382721304972882,0.05448169904725253,2.141241777853915,2.131096723577728,199837,64
random-weights_0,random-weights,SFS_3,0.034425484806453355,0.032921314777136446,1.8314145192891942,1.7807227575856832,199837,64
random-weights_0,random-weights,SFS_4,0.025123365824812227,0.023993169651484902,1.6473208598101172,1.6124987577944445,199837,64
random-weights_0,random-weights,SFS_5,0.021233747511524625,0.019945876956210862,1.5499591505132635,1.5565517317480593,199837,64
random-weights_0,random-weights,SFS_6,0.01747779242174685,0.016472967704185604,1.4566718236278864,1.4685455624176764,199837,64
random-weights_0,random-weights,SFS_7,0.013058937020846262,0.013743384475874976,1.4077763792291622,1.4601011381799904,199837,64
random-weights_0,random-weights,SFS_8,0.011122462524780774,0.011805574605143199,1.3949827626029025,1.4078008549886774,199837,64
random-weights_0,random-weights,SFS_9,0.010413067319556157,0.009455500861926036,1.3336023995615103,1.3420928755475525,199837,64
random-weights_0,random-weights,LD_1,0.3864119508214302,0.3906888014918769,0.07581280292798166,0.07478778293393072,199837,64
random-weights_0,random-weights,LD_2,0.34021370407244844,0.341088904561895,0.07513165794433874,0.07440468163262073,199837,64
random-weights_0,random-weights,LD_3,0.22551651642794712,0.22125367916986183,0.08255760900110298,0.08131750747490164,199837,64
random-weights_0,random-weights,LD_4,0.07970196433226628,0.08010383825467549,0.09106638617844326,0.09192675908696572,199837,64
random-weights_0,random-weights,LD_5,0.014924868944434677,0.014690602470172731,0.09085507699295316,0.09227617512898867,199837,64
random-weights_0,random-weights,LD_6,0.007533934301671041,0.00462350939265832,0.07972180848856324,0.08168043073508319,199837,64
random-weights_0,random-weights,LD_7,0.009063269855070555,0.004784909889794964,0.06194582538405356,0.06271857828017878,199837,64
random-weights_0,random-weights,LD_8,0.008076967852831074,0.006932591685056111,0.044274373640395284,0.04417893272757018,199837,64
random-weights_0,random-weights,LD_9,0.005881390549848042,0.005133230606550132,0.03093656614277107,0.030565174589331383,199837,64
random-weights_0,random-weights,LD_10,0.0037420240948676797,0.002851935511076653,0.02075029626410217,0.022110279901852235,199837,64
random-weights_0,random-weights,LD_11,0.0023695569506111402,0.0006119595999777294,0.014068113038822735,0.014384669789714578,199837,64
